"No.","Time","Source","Destination","Protocol","Length","Info","TS","Seq"
"88","0.981421","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15656, Time=1628636895","1628636895","15656"
"89","0.999242","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15657, Time=1628637055","1628637055","15657"
"90","1.001247","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15657, Time=1628637055","1628637055","15657"
"91","1.019185","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15658, Time=1628637215","1628637215","15658"
"92","1.021137","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15658, Time=1628637215","1628637215","15658"
"93","1.039262","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15659, Time=1628637375","1628637375","15659"
"94","1.041113","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15659, Time=1628637375","1628637375","15659"
"95","1.059140","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15660, Time=1628637535","1628637535","15660"
"96","1.061201","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15660, Time=1628637535","1628637535","15660"
"97","1.079127","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15661, Time=1628637695","1628637695","15661"
"98","1.081406","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15661, Time=1628637695","1628637695","15661"
"99","1.099131","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15662, Time=1628637855","1628637855","15662"
"100","1.101528","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15662, Time=1628637855","1628637855","15662"
"101","1.119179","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15663, Time=1628638015","1628638015","15663"
"102","1.121209","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15663, Time=1628638015","1628638015","15663"
"103","1.139009","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15664, Time=1628638175","1628638175","15664"
"104","1.142520","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15664, Time=1628638175","1628638175","15664"
"105","1.159171","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15665, Time=1628638335","1628638335","15665"
"106","1.162309","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15665, Time=1628638335","1628638335","15665"
"107","1.179149","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15666, Time=1628638495","1628638495","15666"
"108","1.181565","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15666, Time=1628638495","1628638495","15666"
"109","1.199161","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15667, Time=1628638655","1628638655","15667"
"110","1.201242","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15667, Time=1628638655","1628638655","15667"
"111","1.219032","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15668, Time=1628638815","1628638815","15668"
"112","1.221075","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15668, Time=1628638815","1628638815","15668"
"113","1.239127","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15669, Time=1628638975","1628638975","15669"
"114","1.242211","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15669, Time=1628638975","1628638975","15669"
"115","1.259180","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15670, Time=1628639135","1628639135","15670"
"116","1.261691","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15670, Time=1628639135","1628639135","15670"
"117","1.279105","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15671, Time=1628639295","1628639295","15671"
"118","1.281616","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15671, Time=1628639295","1628639295","15671"
"119","1.299070","10.2.0.17","10.2.0.11","RTP","63","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15672, Time=1628639455","1628639455","15672"
"120","1.301658","10.2.0.11","10.2.0.17","RTP","63","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15672, Time=1628639455","1628639455","15672"
"121","1.359152","10.2.0.17","10.2.0.11","RTP","63","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15673, Time=1628639935","1628639935","15673"
